index,Price
0,6523388
1,6650634
2,4404572
3,2334489
4,9624682
5,7304212
6,9728519
7,4572471
8,4623669
9,7504852
10,5081505
11,1866891
12,4621373
13,6119877
14,3444769
15,9280351
16,203355
17,1362752
18,9884633
19,5764789
20,9795979
21,9405648
22,5843066
23,6213790
24,4821339
25,9989550
26,3375709
27,184654
28,5247581
29,2054354
30,8342680
31,2528388
32,9016786
33,2763046
34,5599720
35,6740913
36,3516664
37,3485659
38,3485357
39,1565689
40,168148
41,1925665
42,2845683
43,4156518
44,2769995
45,5097895
46,6497986
47,1970928
48,4255299
49,6349859
50,2405413
51,4010197
52,5658019
53,5514709
54,371836
55,3684702
56,7381369
57,2399435
58,8685377
59,2758505
60,1371741
61,3869315
62,1146797
63,3147262
64,664685
65,2979190
66,5696411
67,9800344
68,1107293
69,4874183
70,3466612
71,8511855
72,5367180
73,7907313
74,2804238
75,2730708
76,3594679
77,5617209
78,1867640
79,6823771
80,1385160
81,6180526
82,5273036
83,1525472
84,148984
85,6656168
86,1604384
87,2330919
88,7040119
89,1837095
90,4880450
91,7569344
92,2209818
93,2331785
94,3953339
95,9567719
96,1096107
97,7230144
98,4645583
99,3847389
100,4242807
101,8088004
102,6345035
103,3702279
104,5615989
105,2221690
106,591234
107,5501218
108,7014550
109,6267294
110,9386029
111,7006726
112,5988794
113,7658158
114,6610425
115,8611017
116,7987739
117,869598
118,5392895
119,8071379
120,3431068
121,3356415
122,974371
123,5754237
124,1073548
125,3444014
126,7164746
127,9702083
128,6316204
129,5293542
130,3059034
131,4674293
132,6806971
133,143585
134,2639448
135,209556
136,1675557
137,8406461
138,2109021
139,1301482
140,642335
141,4370070
142,6800379
143,3660920
144,6960006
145,2584413
146,3007360
147,5995544
148,5797469
149,2335000
150,7008531
151,4422252
152,5922184
153,502690
154,2648421
155,2054109
156,4522880
157,7305547
158,8423735
159,6557294
160,1484250
161,161087
162,6509907
163,1596176
164,139353
165,6584531
166,3460011
167,7754909
168,4359622
169,5059617
170,5825570
171,516880
172,7172695
173,7533296
174,5065050
175,913168
176,325281
177,3882875
178,3095765
179,7834102
180,5695108
181,5774719
182,8758144
183,6709280
184,5600306
185,4472093
186,1661729
187,5131595
188,5578047
189,9170277
190,1219043
191,7203230
192,2658231
193,6759908
194,3180389
195,1761909
196,2756138
197,210078
198,2015631
199,6414127
200,9892712
201,2108187
202,1759066
203,2248815
204,7455740
205,4606259
206,7573915
207,7758426
208,6504003
209,4235314
210,1010681
211,1707618
212,3996830
213,4436787
214,2855423
215,171295
216,9232582
217,7713287
218,3545376
219,5351035
220,3712600
221,925816
222,8863313
223,2126793
224,654594
225,8636326
226,3604473
227,7399695
228,2304664
229,4441747
230,786976
231,2572189
232,8606404
233,1341082
234,5284502
235,6661000
236,6771458
237,4992306
238,3774515
239,1679159
240,9395925
241,4615488
242,6141495
243,9156842
244,8867088
245,6424167
246,891971
247,601157
248,4478727
249,4224499
250,6046594
251,5206799
252,4427576
253,5062140
254,2899487
255,3004941
256,8083441
257,5420385
258,2200021
259,9849436
260,7028040
261,718467
262,5433152
263,7428141
264,5172148
265,1807923
266,5234207
267,8616999
268,6830886
269,9505634
270,5953584
271,8270528
272,4401754
273,2369042
274,2083509
275,7840141
276,216381
277,1621701
278,6205525
279,9687994
280,3538618
281,8013697
282,2557184
283,4203022
284,1518175
285,3906688
286,7365795
287,3872962
288,4141776
289,2827423
290,5809840
291,5230397
292,3551356
293,9620173
294,3544084
295,3027109
296,7079451
297,8619981
298,7878484
299,8603902
300,6314624
301,4942611
302,6457182
303,4435868
304,9914996
305,2315167
306,3986402
307,6645535
308,6942385
309,9178552
310,788105
311,2089173
312,3180761
313,1514466
314,545101
315,8206609
316,7513023
317,7713269
318,1205534
319,9713273
320,4453127
321,7415360
322,8173461
323,598863
324,8856262
325,2776188
326,3395990
327,7882937
328,6626818
329,9981393
330,9285687
331,5591590
332,6612440
333,6199628
334,6655968
335,2799015
336,9774733
337,8937590
338,1272622
339,2603771
340,3277825
341,1096161
342,4283839
343,766326
344,749150
345,3475957
346,218834
347,3339576
348,5993309
349,6048540
350,4349913
351,4522201
352,1179600
353,9514323
354,9927141
355,3603157
356,8372874
357,8949851
358,2085588
359,8740059
360,4297355
361,1852683
362,7816868
363,1104646
364,9460133
365,3967500
366,549395
367,5243901
368,6854350
369,1360386
370,3154390
371,7119431
372,3479569
373,3000603
374,8711474
375,9623856
376,1746711
377,5687774
378,6419707
379,8067801
